num,URL,title,abstract
2,https://openreview.net/forum?id=PCZWNiXtYi,Overcoming Valid Action Suppression in Unmasked Policy Gradient Algorithms,"In reinforcement learning environments with state-dependent action validity, action masking consistently outperforms penalty-based handling of invalid actions, yet existing theory only shows that masking preserves the policy gradient theorem. We identify a distinct failure mode of unmasked training: it systematically suppresses valid actions at states the agent has not yet visited. This occurs because gradients pushing down invalid actions at visited states propagate through shared network parameters to unvisited states where those actions are valid. We prove that for softmax policies with shared features, when an action is invalid at visited states but valid at an unvisited state s*, the probability $\pi(a \mid s^*)$ is bounded by exponential decay due to parameter sharing and the zero-sum identity of softmax logits. This bound reveals that entropy regularization trades off between protecting valid actions and sample efficiency, a tradeoff that masking eliminates. We validate empirically that deep networks exhibit the feature alignment condition required for suppression, and experiments on Craftax, Craftax-Classic, and MiniHack confirm the predicted exponential suppression and demonstrate that feasibility classification enables deployment without oracle masks."
3,https://openreview.net/forum?id=DyHkoNmwja,Centralized Adaptive Sampling for Reliable Co-training of Independent Multi-Agent Policies,"Independent on-policy policy gradient algorithms are widely used for multi-agent reinforcement learning (MARL) in cooperative and no-conflict games, but they are known to converge sub-optimally when each agent’s individual policy gradient points away from an optimal joint equilibrium. 
Going beyond prior work, we observe that sub-optimal convergence can still arise \textit{even when the expected individual policy gradients of all agents point toward the optimal joint solution.} 
After collecting a finite set of trajectories, stochasticity in independent action sampling can cause the joint data distribution to deviate from the expected joint on-policy distribution. 
This \textit{sampling error} w.r.t. the joint on-policy distribution  produces inaccurate gradient estimates that can make agents converge sub-optimally.
We hypothesize that joint sampling error can be reduced through coordinated action selection and that doing so will increase the \textit{reliability} of policy gradient learning in MARL (i.e., the probability of agents converging to an optimal joint policy).
To test this hypothesis, we first introduce an adaptive action sampling approach to reduce joint sampling error in the Centralized Training with Decentralized Execution setting. Our method, Cooperative Sampling Error Reduction (CoSER), continually adapts a centralized behavior policy to place higher probability on joint actions that are under-sampled w.r.t. the current joint policy.
We then empirically evaluate CoSER on a diverse set of no-conflict multi-agent games and demonstrate that (1) CoSER reduces joint sampling error more efficiently than independent on-policy sampling and (2) this reduction increases the reliability of independent policy gradient algorithms."
5,https://openreview.net/forum?id=ca1RGnGSrj,"Yes, Q-learning Helps Offline In-Context RL","Existing offline in-context reinforcement learning (ICRL) methods have predominantly relied on supervised training objectives, which are known to have limitations in offline RL settings. In this study, we explore the integration of RL objectives within an offline ICRL
framework. Through experiments on more than 150 GridWorld and MuJoCo environment-derived datasets, we demonstrate that optimizing RL objectives directly improves performance by approximately 30% on average compared to widely adopted Algorithm Distillation (AD), across various dataset coverages, structures, expertise levels, and environmental complexities. Furthermore, in the challenging XLand-MiniGrid environment, RL objectives doubled the performance of AD. Our results also reveal that the addition of conservatism during value learning brings additional improvements in almost all settings tested. Our findings emphasize the importance of aligning ICRL learning objectives with the RL reward-maximization goal, and demonstrate that offline RL is a promising direction for advancing ICRL."
9,https://openreview.net/forum?id=ktSPEhanqz,On the Variance of Temporal Difference Learning and its Reduction Using Control Variates,"We analyze the variance of temporal difference (TD) learning using the phased setting with tabular representation, and show that one of the mechanisms behind its ability to reduce variance is by effectively aggregating over a larger number of independent trajectories.
Based on this insight, we demonstrate that (1) the variance of TD is asymptotically bounded from above by Monte Carlo (MC) estimators, and (2) shorter horizon updates incurs less variance for a fixed number of samples.
Beyond TD, we show that Direct Advantage Estimation (DAE), a method for estimating the advantage function, can be seen as a type of regression-adjusted control variate, which achieves a tighter bound on the variance compared to TD in the large-sample limit.
Finally, we numerically illustrate the behaviors of these estimators with carefully designed environments."
12,https://openreview.net/forum?id=qzIi5yp5Bo,Deep Reinforcement Learning for Spacecraft Attitude Control During Atmospheric Re-Entry,"Deep reinforcement learning has the potential to solve attitude control problems more adaptively, precisely, and robustly by handling nonlinear dynamics, uncertainties, and failure cases more effectively than traditional attitude control approaches. We explore reinforcement learning (RL) for attitude control in spacecraft re-entry. An industry-standard proportional–integral–derivative controller with gain scheduling serves as a strong baseline for model-free RL and hybrid controllers that combine these two approaches. We formalize the application in the RL framework to apply continuous, off-policy RL. State-of-the-art RL achieves comparable performance to traditional control approaches in this domain. However, its out-of-distribution generalization is not sufficient. Hence, we use dynamics randomization to introduce challenging task variations during training and enforce generalization in a predefined operational envelope. Finally, we assess the best obtained RL-based controllers with application-specific metrics to show superior performance in comparison to traditional controllers in the operational envelope, that is, hybrid controllers are able to track the angle of attack better and are more robust under variations of mass, inertia tensor, and flap actuator bandwidth."
18,https://openreview.net/forum?id=RDZLhEaqxk,Towards Formalizing Reinforcement Learning Theory: A Robbins-Siegmund Approach,"In this paper, we formalize the almost sure convergence of $Q$-learning and linear temporal difference (TD) learning with Markovian samples using the Lean 4 theorem prover based on the Mathlib library. $Q$-learning and linear TD are among the earliest and most influential reinforcement learning (RL) algorithms. The investigation of their convergence properties is not only a major research topic during the early development of the RL field but also receives significant attention nowadays. This paper formally verifies their almost sure convergence in a unified framework based on the Robbins-Siegmund theorem. The framework developed in this work can potentially be extended to convergence rates and other modes of convergence. This work thus makes an important step towards fully formalizing convergent RL results. The code is available at https://github.com/ShangtongZhang/rl-theory-in-lean."
20,https://openreview.net/forum?id=UPnvdnmWhA,Statistical Inference for Policy Evaluation with Temporal Difference Learning,"We investigate the statistical properties of Temporal Difference (TD) learning with Polyak-Ruppert averaging, arguably one of the most widely used algorithms in reinforcement learning, for the task of estimating the parameters of the optimal linear approximation to the value function. Assuming independent samples, we make three theoretical contributions that improve upon the current state-of-the-art results: (i) we establish refined high-dimensional Berry-Esseen bounds over the class of convex sets, achieving faster rates than the best known results, and (ii) we propose and analyze a novel, computationally efficient online plug-in estimator of the asymptotic covariance matrix; (iii) we derive sharper high probability convergence guarantees that depend explicitly on the asymptotic variance and hold under weaker conditions than those adopted in the literature. These results enable the construction of confidence regions and simultaneous confidence intervals for the linear parameters of the value function approximation, with guaranteed finite-sample coverage. We demonstrate the applicability of our theoretical findings through numerical experiments."
22,https://openreview.net/forum?id=KnOxMGVnWc,PPO+: Enhancing proximal policy optimization,"On-policy Reinforcement Learning (RL) offers desirable features such as stable learning, fewer policy updates, and the ability to evaluate a policy’s return during training. While recent efforts have focused on off-policy methods, achieving significant advancements, PPO remains the go-to algorithm for on-policy RL due to its apparent simplicity and effectiveness. Nonetheless, PPO relies on subtle, often poorly documented adjustments that can critically affect its performance. Our proposed approach, PPO+, is a principled adaptation of the PPO algorithm that strengthens its adherence to the on-policy objective, enhancing stability and efficiency. 
PPO+ demonstrates significantly improved asymptotic performance over PPO, and a substantially reduced performance gap with off-policy algorithms in several challenging continuous control tasks.
Beyond just performance, our findings offer a fresh perspective on on-policy RL that can serve as guidance for future research endeavors."
23,https://openreview.net/forum?id=Ofh46pT6NQ,Learning When to Stop: Prefix-Optimal Dynamic Diffusion Policies for Continuous Control,"Diffusion policies generate actions through a K-step denoising chain, but standard train-
ing optimizes only the terminal output, leaving intermediate iterates unsupervised and non-
executable. We introduce POGP (Prefix-Optimal Generative Policies), which learns a prefix
value function Vt(s,at) at every denoising step via a Bellman-style recursion over the chain.
The PVF serves a dual purpose: as an auxiliary training objective it improves intermediate
action quality, and as a test-time metric the marginal change across consecutive steps pro-
vides a parameter-free stopping criterion. On four MuJoCo environments against 12 baselines,
POGP outperforms state-of-the-art methods dynamic diffusion baselines by approximately
3.5% while reducing denoising iterations by ≈2.7×compared to fixed-step diffusion base-
lines, while retaining similar perfomrance gains."
26,https://openreview.net/forum?id=BBeszTCQhT,Limits of reinforcement learning for decision trees in Markov decision processes,"For applications like medicine, machine learning models ought to be interpretable. In that case, decision tree models are preferred over neural networks because humans can read their predictions from the root to the leaves. Training such decision trees for sequential decision making problems is a relatively new research direction and most of the existing literature focuses on imitating neural networks.
In contrast, we study reinforcement learning (RL) algorithms that train decision trees directly optimizing some trade-off of cumulative rewards and interpretability in a Markov decision process (MDP). We show that such algorithms can be seen as training policies for partially observable Markov decision processes (POMDPs). This helps us understand why in practice it is often hard to train decision tree policies from scratch in MDPs."
